127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000279
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.029170
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000371
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000337
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000312
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000276
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001827
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004065
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000259
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000355
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000323
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000287
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000261
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000290
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000338
127.0.0.1, 2015-05-12 18:07:50, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000241
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.030565
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000377
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000761
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000475
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000304
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000311
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001612
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001276
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001767
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002725
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000536
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000313
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000348
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000269
127.0.0.1, 2015-05-12 18:08:49, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001045
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.022772
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000364
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000378
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000823
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000752
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000710
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000477
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000612
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000381
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000172
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000704
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000193
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000392
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000236
127.0.0.1, 2015-05-12 18:08:50, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000252
127.0.0.1, 2015-05-12 18:13:39, GET, /welcome/default/index, HTTP/1.1, 500, 0.108288
127.0.0.1, 2015-05-12 18:13:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000190
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/default/ticket/welcome/127.0.0.1.2015-05-12.18-13-39.2b02f783-632e-42b1-8c75-960b9616976b, HTTP/1.1, 303, 0.123926
127.0.0.1, 2015-05-12 18:13:40, GET, /admin/default/index, HTTP/1.1, 200, 0.027617
